link1	link2	value
3.0	42.0	0.09451365059474987
3.0	43.0	0.07132882700292209
3.0	44.0	0.13491428264653468
3.0	45.0	0.09342753628047809
3.0	46.0	0.18391102081165414
3.0	47.0	0.0632420331694025
3.0	48.0	0.1490815306686628
3.0	49.0	0.05380031856961202
3.0	50.0	0.16928591925212177
4.0	1.0	0.0
4.0	2.0	0.0
4.0	3.0	0.0
4	4	0
4.0	5.0	0.0
4.0	6.0	0.0
4.0	7.0	0.0
4.0	8.0	0.0
4.0	9.0	0.0
4.0	10.0	0.0
4.0	11.0	0.0
4.0	12.0	0.0
4.0	13.0	0.0
4.0	14.0	0.0
4.0	15.0	0.0
4.0	16.0	0.0
4.0	17.0	0.0
4.0	18.0	0.0
4.0	19.0	0.0
4.0	20.0	0.0
4.0	21.0	0.0
4.0	22.0	0.0
4.0	23.0	0.0
4.0	24.0	0.0
4.0	25.0	0.0
4.0	26.0	0.0
4.0	27.0	0.0
4.0	28.0	0.0
4.0	29.0	0.0
4.0	30.0	0.0
4.0	31.0	0.0
4.0	32.0	0.0
4.0	33.0	0.0
4.0	34.0	0.0
4.0	35.0	0.0
4.0	36.0	0.0
4.0	37.0	0.0
4.0	38.0	0.0
4.0	39.0	0.0
4.0	40.0	0.0
4.0	41.0	0.0
4.0	42.0	0.0
4.0	43.0	0.0
4.0	44.0	0.0
4.0	45.0	0.0
4.0	46.0	0.0
4.0	47.0	0.0
4.0	48.0	0.0
4.0	49.0	0.0
4.0	50.0	0.0
5.0	1.0	0.43230229321446373
5.0	2.0	0.1518269015410644
5.0	3.0	0.10200130822158075
5.0	4.0	0.0
5	5	0
5.0	6.0	0.25036600809447745
5.0	7.0	0.23696173638541876
5.0	8.0	0.19888792849139075
5.0	9.0	0.12388233171820374
5.0	10.0	0.246769565769259
5.0	11.0	0.29577958163270135
5.0	12.0	0.18881222805724396
5.0	13.0	0.17425250300651624
5.0	14.0	0.3003381861648857
5.0	15.0	0.43108971868389234
5.0	16.0	0.03884111079936059
5.0	17.0	0.22262201509575164
5.0	18.0	0.048499215006011245
5.0	19.0	0.5378590791899388
5.0	20.0	0.1549995850409181
5.0	21.0	0.35713654558928487
5.0	22.0	0.10509970278737378
5.0	23.0	0.2306672306313301
5.0	24.0	0.04651490349671132
5.0	25.0	0.19911001983427912
5.0	26.0	0.2159604750933939
5.0	27.0	0.19937955488861223
5.0	28.0	0.3823182051420573
5.0	29.0	0.04907150875005352
5.0	30.0	0.43926074453003155
5.0	31.0	0.10939324391832624
5.0	32.0	0.24122338161957915
5.0	33.0	0.0514016291633134
5.0	34.0	0.35610693395228654
5.0	35.0	0.4097434795263839
5.0	36.0	0.17074876082122067
5.0	37.0	0.44364561560450194
5.0	38.0	0.183522262346128
5.0	39.0	0.23182569264072878
5.0	40.0	0.2959129152992791
5.0	41.0	0.4488742992155517
5.0	42.0	0.48282004449122506
5.0	43.0	0.12144091045510189
5.0	44.0	0.4156364085344237
5.0	45.0	0.23948267245747157
5.0	46.0	0.18770414574886315
5.0	47.0	0.15368746371001585
5.0	48.0	0.2175167635104665
5.0	49.0	0.10341493966800686
5.0	50.0	0.07853037754100023
6.0	1.0	0.19869054527300967
6.0	2.0	0.3070062215415723
6.0	3.0	0.11124323203371517
6.0	4.0	0.0
6.0	5.0	0.25036600809447745
6	6	0
6.0	7.0	0.18185148489918088
6.0	8.0	0.21648268374039303
6.0	9.0	0.12138765177218272
6.0	10.0	0.15647303135533064
6.0	11.0	0.1455737965334486
6.0	12.0	0.1643110390894388
6.0	13.0	0.16101374742402735
6.0	14.0	0.19530260289004864
6.0	15.0	0.21998451124793145
6.0	16.0	0.03179837378662368
6.0	17.0	0.17532840597935728
6.0	18.0	0.030900707884821434
6.0	19.0	0.23183925580014983
6.0	20.0	0.18557170965804362
6.0	21.0	0.13443593059888673
6.0	22.0	0.07958116633061993
6.0	23.0	0.21102934251426791
6.0	24.0	0.027841399779603704
6.0	25.0	0.23138055411895322
6.0	26.0	0.20203200591545348
6.0	27.0	0.18900147370508963
6.0	28.0	0.17888139964440386
6.0	29.0	0.03986572803849192
6.0	30.0	0.18453347537678724
6.0	31.0	0.07346588117224612
6.0	32.0	0.3198080218417963
6.0	33.0	0.0
6.0	34.0	0.1729271711864328
6.0	35.0	0.15246291207344048
6.0	36.0	0.16543522066651437
6.0	37.0	0.2340787309128733
6.0	38.0	0.1605432618321428
6.0	39.0	0.20195061991693503
6.0	40.0	0.3131112345651086
6.0	41.0	0.16704227233397662
6.0	42.0	0.20465334868434432
6.0	43.0	0.13082877479221958
6.0	44.0	0.25279606568705837
6.0	45.0	0.16060448981487932
6.0	46.0	0.18273752534432017
6.0	47.0	0.1264221230563946
6.0	48.0	0.2369231160892703
6.0	49.0	0.16600529941233605
6.0	50.0	0.09445301288211641
7.0	1.0	0.14966853987188247
7.0	2.0	0.1274686492064154
7.0	3.0	0.09330294874125863
7.0	4.0	0.0
7.0	5.0	0.23696173638541876
7.0	6.0	0.18185148489918088
7	7	0
7.0	8.0	0.19825370427756456
7.0	9.0	0.12128617252133275
7.0	10.0	0.14563498758177018
7.0	11.0	0.14458210900694285
7.0	12.0	0.12670203230124094
7.0	13.0	0.15401031387622757
7.0	14.0	0.1991336510214705
7.0	15.0	0.19158244996143725
7.0	16.0	0.03006350676824282
7.0	17.0	0.1603974325387951
7.0	18.0	0.027110917508270355
7.0	19.0	0.2182463301589104
7.0	20.0	0.14929684377971103
7.0	21.0	0.132796350004343
7.0	22.0	0.06566125717153452
7.0	23.0	0.16124277336422582
7.0	24.0	0.030192130086589344
7.0	25.0	0.1882185804046363
7.0	26.0	0.18279494692812234
7.0	27.0	0.1414553702470189
7.0	28.0	0.17153175443090457
7.0	29.0	0.04420272295985018
7.0	30.0	0.15382080616440652
7.0	31.0	0.06755559093943451
7.0	32.0	0.19233069513118242
7.0	33.0	0.01213325590688022
7.0	34.0	0.15006208977237517
7.0	35.0	0.13082850228344214
7.0	36.0	0.12328783520025545
7.0	37.0	0.21683766485285022
7.0	38.0	0.11397226753143062
7.0	39.0	0.19283265027489147
7.0	40.0	0.22204847324267032
7.0	41.0	0.14408028805462375
7.0	42.0	0.18113131826595383
7.0	43.0	0.12260963340911953
7.0	44.0	0.2417451376789659
7.0	45.0	0.1566004795528701
7.0	46.0	0.15621176510353574
7.0	47.0	0.13854362209792506
7.0	48.0	0.22315900558341364
7.0	49.0	0.08600112854459718
7.0	50.0	0.07363544130708573
8.0	1.0	0.16735590815235638
8.0	2.0	0.13835980495105216
8.0	3.0	0.09998659794352074
8.0	4.0	0.0
8.0	5.0	0.19888792849139075
8.0	6.0	0.21648268374039303
8.0	7.0	0.19825370427756456
8	8	0
8.0	9.0	0.1103608610375277
8.0	10.0	0.20581603674068022
8.0	11.0	0.13741069259216623
8.0	12.0	0.13584538954343156
8.0	13.0	0.14217898200406295
8.0	14.0	0.2310946938302374
8.0	15.0	0.20959197002431754
8.0	16.0	0.029054450554231392
8.0	17.0	0.31265746923518584
8.0	18.0	0.0388016745165074
8.0	19.0	0.2153979268886018
8.0	20.0	0.13226168040231703
8.0	21.0	0.13021530525578925
8.0	22.0	0.06159061877531248
8.0	23.0	0.1826913886712262
8.0	24.0	0.039111197505827144
8.0	25.0	0.18229304501805285
8.0	26.0	0.18570882349084714
8.0	27.0	0.16607947973611345
8.0	28.0	0.1491518242623628
8.0	29.0	0.024275257857908544
8.0	30.0	0.15242123259235696
8.0	31.0	0.0799050919365184
8.0	32.0	0.20262837293362282
8.0	33.0	0.022700046970313987
8.0	34.0	0.1389058510031739
8.0	35.0	0.12953001423102875
8.0	36.0	0.13624742209133794
8.0	37.0	0.1857251847988013
8.0	38.0	0.15860814579683835
8.0	39.0	0.44045380950162494
8.0	40.0	0.43304095842284407
8.0	41.0	0.14141148234379852
8.0	42.0	0.1884877893855139
8.0	43.0	0.4497968574888795
8.0	44.0	0.28110155147394245
8.0	45.0	0.31641159816610775
8.0	46.0	0.1722082122428408
8.0	47.0	0.13025343513961946
8.0	48.0	0.21484089405013565
8.0	49.0	0.08327789028145235
8.0	50.0	0.07399369873607049
9.0	1.0	0.09765758751414047
9.0	2.0	0.08862534991148592
9.0	3.0	0.06899053025378966
9.0	4.0	0.0
9.0	5.0	0.12388233171820374
9.0	6.0	0.12138765177218272
9.0	7.0	0.12128617252133275
9.0	8.0	0.1103608610375277
9	9	0
9.0	10.0	0.0974208298232313
9.0	11.0	0.06992349499513364
9.0	12.0	0.07579368505101836
9.0	13.0	0.13632645917103042
9.0	14.0	0.11605104930282649
9.0	15.0	0.10148321852394523
9.0	16.0	0.018037442243466217
9.0	17.0	0.10008677142905661
9.0	18.0	0.021283967877895
9.0	19.0	0.10939233209515033
9.0	20.0	0.09670680626607064
9.0	21.0	0.060351059831172095
9.0	22.0	0.03809844441032414
9.0	23.0	0.10000376856811644
9.0	24.0	0.02196624815845815
9.0	25.0	0.07962580155635511
9.0	26.0	0.1267682733047617
9.0	27.0	0.09044225332043739
9.0	28.0	0.09020320886104469
9.0	29.0	0.023936387513364608
9.0	30.0	0.08230000396734966
9.0	31.0	0.04169290183235824
9.0	32.0	0.14275737046584885
9.0	33.0	0.0115071852957214
9.0	34.0	0.08362309294654037
9.0	35.0	0.0679105717786852
9.0	36.0	0.06154278808978826
9.0	37.0	0.10710036730043711
9.0	38.0	0.07709267354354092
9.0	39.0	0.12077525749764986
9.0	40.0	0.12242103008035861
9.0	41.0	0.07820586655231083
9.0	42.0	0.09118093391055401
9.0	43.0	0.05436856103415146
9.0	44.0	0.13011568285477484
9.0	45.0	0.0846514842435358
9.0	46.0	0.09082134279923888
9.0	47.0	0.048718660699401985
9.0	48.0	0.15221488985307824
9.0	49.0	0.06971870438696207
9.0	50.0	0.03814098545047475
10.0	1.0	0.15066882437768134
10.0	2.0	0.10665181014613924
10.0	3.0	0.06598432515138425
10.0	4.0	0.0
10.0	5.0	0.246769565769259
10.0	6.0	0.15647303135533064
10.0	7.0	0.14563498758177018
10.0	8.0	0.20581603674068022
10.0	9.0	0.0974208298232313
10	10	0
10.0	11.0	0.1381836525625609
10.0	12.0	0.1251304870094772
10.0	13.0	0.12448124539151326
10.0	14.0	0.3458006212670334
10.0	15.0	0.2305868434176583
10.0	16.0	0.05022510268251182
10.0	17.0	0.2059517220377552
10.0	18.0	0.04423469765563752
10.0	19.0	0.20825566209928079
10.0	20.0	0.09835218832947887
10.0	21.0	0.10299244955038017
10.0	22.0	0.0690574683407206
10.0	23.0	0.13762632037992875
10.0	24.0	0.055614318164001156
10.0	25.0	0.11840251955600739
10.0	26.0	0.13574548559634828
10.0	27.0	0.11279660865547943
10.0	28.0	0.1378428423933867
10.0	29.0	0.029601747448044405
10.0	30.0	0.16321435717537403
10.0	31.0	0.07199057958547278
10.0	32.0	0.17717037834468224
10.0	33.0	0.004962819787416641
10.0	34.0	0.1272693973957145
10.0	35.0	0.10841617787651134
10.0	36.0	0.10202909040627214
10.0	37.0	0.19639301349790994
10.0	38.0	0.11115185329129496
10.0	39.0	0.22018704593571473
10.0	40.0	0.264880041081948
10.0	41.0	0.12822557644534385
10.0	42.0	0.17632379869831408
10.0	43.0	0.16198327025034095
10.0	44.0	0.1933909335815828
10.0	45.0	0.46350186913262725
10.0	46.0	0.13123383140111633
10.0	47.0	0.0957085289327689
10.0	48.0	0.1705028136189654
10.0	49.0	0.08683248245376651
10.0	50.0	0.045963282686766825
11.0	1.0	0.4155142350716822
11.0	2.0	0.08240888584498612
11.0	3.0	0.0711031921362137
11.0	4.0	0.0
11.0	5.0	0.29577958163270135
11.0	6.0	0.1455737965334486
11.0	7.0	0.14458210900694285
11.0	8.0	0.13741069259216623
11.0	9.0	0.06992349499513364
11.0	10.0	0.1381836525625609
11	11	0
11.0	12.0	0.13481187021411933
11.0	13.0	0.11409349956002313
11.0	14.0	0.1718007014202637
11.0	15.0	0.3843501167702016
11.0	16.0	0.02919995818632613
11.0	17.0	0.13168506488658688
11.0	18.0	0.045722859826677203
11.0	19.0	0.2819540521946147
11.0	20.0	0.10415797024992379
11.0	21.0	0.519873520023606
11.0	22.0	0.07089681891917955
11.0	23.0	0.15061108301772258
11.0	24.0	0.04381997953384915
11.0	25.0	0.11324608151705945
11.0	26.0	0.12600181152028603
11.0	27.0	0.13795047501254734
11.0	28.0	0.2568483746640244
11.0	29.0	0.02205337439404664
11.0	30.0	0.4008163335788483
11.0	31.0	0.07744556230877175
11.0	32.0	0.15775426207153165
11.0	33.0	0.0044229444701092465
11.0	34.0	0.4589324761512196
11.0	35.0	0.4117215041512876
11.0	36.0	0.10707148367545778
11.0	37.0	0.3744648601577335
11.0	38.0	0.12436817988628254
11.0	39.0	0.17136390597265996
11.0	40.0	0.16662315079861373
11.0	41.0	0.4485929535212994
11.0	42.0	0.38022589701469206
11.0	43.0	0.0808944849888228
11.0	44.0	0.45303368553890516
11.0	45.0	0.13386426293191067
11.0	46.0	0.11767500671416965
11.0	47.0	0.12286690917444437
11.0	48.0	0.12371958895641418
11.0	49.0	0.07057622276109317
11.0	50.0	0.04963439529707782
12.0	1.0	0.1738078405408283
12.0	2.0	0.1330266868510824
12.0	3.0	0.0972167157632752
12.0	4.0	0.0
12.0	5.0	0.18881222805724396
12.0	6.0	0.1643110390894388
12.0	7.0	0.12670203230124094
12.0	8.0	0.13584538954343156
12.0	9.0	0.07579368505101836
12.0	10.0	0.1251304870094772
12.0	11.0	0.13481187021411933
12	12	0
12.0	13.0	0.11482928303858322
12.0	14.0	0.14379704580964597
12.0	15.0	0.20328785646648848
12.0	16.0	0.09259867388660378
12.0	17.0	0.12238796142359115
12.0	18.0	0.0818543451612421
12.0	19.0	0.19865187022169528
12.0	20.0	0.12804471543249044
12.0	21.0	0.15305917968507338
12.0	22.0	0.13126541586775303
12.0	23.0	0.20674668127739568
12.0	24.0	0.12116558888917715
12.0	25.0	0.18990377688660637
12.0	26.0	0.16517825803323388
12.0	27.0	0.1811902425770455
12.0	28.0	0.13717647439951478
12.0	29.0	0.04862396762120589
12.0	30.0	0.16273941333434366
12.0	31.0	0.097058425749783
12.0	32.0	0.14943613503590786
12.0	33.0	0.019041957886682243
12.0	34.0	0.15072207512624017
12.0	35.0	0.14535517123315456
12.0	36.0	0.17021997944165723
12.0	37.0	0.17626261492952439
12.0	38.0	0.1641285442210706
12.0	39.0	0.15962871229695635
12.0	40.0	0.1951899285193365
