title	group	link
Chris Welty	CS	https://plus.google.com/+ChrisWelty/posts
Bianca Beersma	FSW	http://www.fsw.vu.nl/en/departments/organization-sciences/staff/beersma/index.aspx
Website Kees Boersma	FSW	http://keesboersma.com/
Dr. W.A.M Borst (Irma)	FSW	http://www.fsw.vu.nl/en/departments/organization-sciences/staff/borst/index.aspx
Greetje Corporaal	FSW	https://greetjecorporaal.com/
Dr. C. van Dyck	FSW	http://www.fsw.vu.nl/en/departments/organization-sciences/staff/van-dyck/index.aspx
Dr. A.L. van den Ende	FSW	http://www.fsw.vu.nl/en/departments/organization-sciences/staff/ende/index.aspx
Dr.ir. M. van der Gaag	FSW	http://www.fsw.vu.nl/en/departments/organization-sciences/staff/van-der-gaag/index.aspx
L. Glimmerveen, MSc	FSW	http://www.fsw.vu.nl/en/departments/organization-sciences/staff/glimmerveen/index.aspx
Prof.dr. P. Groenewegen	FSW	http://www.fsw.vu.nl/en/departments/organization-sciences/staff/groenewegen/index.aspx
Dr. I.R. Hellsten	FSW	http://www.fsw.vu.nl/en/departments/organization-sciences/staff/hellsten/index.aspx
Dr. F.H. Kamsteeg	FSW	http://www.fsw.vu.nl/en/departments/organization-sciences/staff/kamsteeg/index.aspx
Prof.dr.ing. A.H. van Marrewijk	FSW	http://www.fsw.vu.nl/en/departments/organization-sciences/staff/van-marrewijk/index.aspx
Dr. S. Merkus	FSW	http://www.fsw.vu.nl/en/departments/organization-sciences/staff/merkus/index.aspx
Dr. C. Moser	FSW	http://www.fsw.vu.nl/en/departments/organization-sciences/staff/moser/index.aspx
Prof. dr. H.L.G.R. Nies (Henk)	FSW	http://www.fsw.vu.nl/en/departments/organization-sciences/staff/prof-henk-nies/index.aspx
Dr. C.H. Roessingh	FSW	http://www.fsw.vu.nl/en/departments/organization-sciences/staff/roessingh/index.aspx
Dr. I.H.J. Sabelis	FSW	http://www.fsw.vu.nl/en/departments/organization-sciences/staff/sabelis/index.aspx
Prof.dr. P.C. van der Sijde	FSW	http://www.fsw.vu.nl/en/departments/organization-sciences/staff/sijde/index.aspx
Dr. M.J. Spierenburg	FSW	http://www.fsw.vu.nl/en/departments/organization-sciences/staff/spierenburg/index.aspx
Dr. Yvette Taminiau	FSW	http://www.fsw.vu.nl/en/departments/organization-sciences/staff/Taminiau/index.aspx
DelArte	FSW	http://delarte.nl/kyhra/page.jsv?or=17&pg=27&or=17
P.S.C. van Teunenbroek MSc	FSW	http://www.fsw.vu.nl/en/departments/organization-sciences/staff/van-teunenbroek/index.aspx
Prof.dr. M. Veenswijk	FSW	http://www.fsw.vu.nl/en/departments/organization-sciences/staff/veenswijk/index.aspx
Dr. Michiel Verver	FSW	http://www.fsw.vu.nl/en/departments/organization-sciences/staff/verver/index.aspx
Dr. I. Wakkee	FSW	http://www.fsw.vu.nl/en/departments/organization-sciences/staff/wakkee/index.aspx
T.A.H. Willems (Thijs), MSc	FSW	http://www.fsw.vu.nl/en/departments/organization-sciences/staff/willems/index.aspx
Dr. J.J. Wolbers	FSW	http://www.fsw.vu.nl/en/departments/organization-sciences/staff/wolbers/index.aspx
Dr. S.B. Ybema (Sierk)	FSW	http://www.fsw.vu.nl/en/departments/organization-sciences/staff/ybema/index.aspx
Department of Philosophy	AXIOM	http://www.fil.lu.se/en/department/staff/jeroensmid/
dr. A.W.F. (Alexander) Boer	LEIBNIZ	http://www.uva.nl/en/about-the-uva/organisation/staff-members/content/b/o/a.w.f.boer/a.w.f.boer.html
